Project Cost,VAT,Payments Made,Percent Accomplished,Balance,Date/Period
1000000,150000,500000,50,650000,2024-01
1100000,165000,600000,55,665000,2024-02
1200000,180000,700000,60,680000,2024-03
1300000,195000,800000,65,695000,2024-04
1400000,210000,900000,70,710000,2024-05
1500000,225000,1000000,75,725000,2024-06
1600000,240000,1100000,80,740000,2024-07
1700000,255000,1200000,85,755000,2024-08
1800000,270000,1300000,90,770000,2024-09
1900000,285000,1400000,95,785000,2024-10
2000000,300000,1500000,100,800000,2024-11
