Project Cost,VAT,Payments Made,Percent Accomplished,Balance,Date/Period
504570.76,60548.49,2454.7,0.79,562664.54,2025-01-01
484400.24,58128.03,4590.35,0.0,537937.92,2025-01-02
511256.77,61350.81,5604.75,0.0,567002.83,2025-01-03
514108.47,61693.02,6080.05,3.81,569721.43,2025-01-04
470734.47,56488.14,6080.05,1.8,521142.56,2025-01-05
480467.31,57656.08,7244.7,3.18,530878.69,2025-01-06
501917.61,60230.11,10493.09,4.54,551654.62,2025-01-07
495256.36,59430.76,12360.64,1.08,542326.48,2025-01-08
499747.98,59969.76,13541.08,5.23,546176.66,2025-01-09
487204.34,58464.52,15447.8,4.11,530221.06,2025-01-10
513190.97,61582.92,15945.31,0.0,558828.57,2025-01-11
511666.88,61400.03,17336.38,8.23,555730.52,2025-01-12
500990.46,60118.86,19014.23,1.63,542095.08,2025-01-13
516908.62,62029.03,20571.2,0.0,558366.45,2025-01-14
507012.64,60841.52,22751.02,0.12,545103.14,2025-01-15
487110.61,58453.27,24627.54,0.4,520936.35,2025-01-16
505531.26,60663.75,26739.65,4.36,539455.36,2025-01-17
485616.76,58274.01,27911.1,3.41,515979.67,2025-01-18
513176.75,61581.21,30201.9,3.39,544556.07,2025-01-19
499251.11,59910.13,33013.49,6.94,526147.75,2025-01-20
497227.06,59667.25,34014.75,6.16,522879.56,2025-01-21
489786.06,58774.33,35082.74,6.27,513477.64,2025-01-22
518338.12,62200.57,37716.19,6.8,542822.51,2025-01-23
497682.06,59721.85,39289.66,7.72,518114.24,2025-01-24
493575.08,59229.01,41988.77,0.0,510815.32,2025-01-25
494718.0,59366.16,43404.45,4.68,510679.71,2025-01-26
507984.64,60958.16,46157.45,0.0,522785.35,2025-01-27
505481.66,60657.8,47992.97,6.48,518146.49,2025-01-28
506190.99,60742.92,49926.24,6.54,517007.67,2025-01-29
506462.32,60775.48,52783.06,10.41,514454.73,2025-01-30
532124.71,63854.97,54300.37,11.11,541679.31,2025-01-31
493903.77,59268.45,55421.14,7.86,497751.09,2025-02-01
492316.36,59077.96,56895.72,5.6,494498.6,2025-02-02
487793.41,58535.21,59009.95,9.25,487318.67,2025-02-03
509239.69,61108.76,59720.53,5.9,510627.92,2025-02-04
516934.58,62032.15,61982.39,7.94,516984.34,2025-02-05
498290.79,59794.89,63429.9,11.59,494655.78,2025-02-06
487397.65,58487.72,66067.04,6.39,479818.33,2025-02-07
487632.78,58515.93,66233.74,11.36,479914.97,2025-02-08
509758.89,61171.07,67534.85,11.11,503395.11,2025-02-09
511148.81,61337.86,68215.04,5.59,504271.63,2025-02-10
